Index,Name,Engine,FuelType,KM,Year,Price,Location
67,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,20995,Cork
68,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,10495,Kildare
69,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,25995,Kildare
70,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,10495,Clare
71,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,18495,Clare
72,Renault Laguna 2009,1.9,Diesel,181000,2009,18495,Sligo
73,Renault Laguna 2009,1.9,Diesel,181000,2009,3250,Sligo
74,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,3250,Waterford
75,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,8395,Waterford
76,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,8395,Dublin
77,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,5950,Dublin
78,Nissan Micra March 1.2 5DR Auto air/con bluetooth,1,Petrol,-1,2022,5950,Louth
79,Nissan X-Trail Tekna Dci full Black Leather Inter,1,Petrol,-1,2022,45488,Louth
80,Nissan March Micra 1.2 5DR Auto air/con bluetooth,1,Petrol,-1,2022,45488,Louth
81,Renault Megane GT NAV TCE 205 EDC Hatch,1.6,Petrol,83500,2017,8450,Carlow
82,"Renault Clio,TOM TOM EDITION NCT 04/23 RT 04/23",1.1,Petrol,-1,2009,3999,Louth
83,Simply Stunning Renault Clio,1.1,Petrol,-1,2013,-1,Dublin
84,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,10950,Dublin
85,Renault MEGANE E-TECH Hatchback,1,Petrol,-1,2022,3250,Louth
86,Renault clio IV Dynamique,1.1,Petrol,106000,2013,18990,Meath
87,"Renault Grand Scenic, 2012 1.5 DCI",1.5,Diesel,-1,2012,7900,Meath
88,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,1650,Carlow
89,Renault Clio 1.5 DCI Dynamique NAV S/S 2016,1.5,Diesel,-1,2016,14600,Tipperary
90,Renault Laguna 2010,1.5,Diesel,-1,2010,16995,Donegal
91,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,20745,Limerick
92,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,6850,Kerry
93,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,5600,Dublin
94,"Renault Clio, 2007",1.1,Petrol,201772,2007,13950,Kilkenny
95,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,13695,Galway
96,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,10695,Louth
97,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,16995,Dublin
98,Renault Megane 2008,2,Petrol,-1,2008,6350,Donegal
99,Renault Laguna 2010,2,Diesel,-1,2010,1750,Limerick
100,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,17995,Cork
101,2017 Renault Clio Dynamique 1.2 16V Petrol Low KMs,1.1,Petrol,-1,2017,22250,Limerick
102,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,25490,Limerick
103,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,26951,Waterford
104,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,18450,Kerry
105,Renault Conquest Scenic 1.5dci Nct 11 23,1.5,Diesel,-1,2008,15495,Westmeath
106,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,20995,Waterford
107,"Renault Kadjar, 1.5 DCI **NEW MODEL/IMMACULATE**",1.5,Diesel,-1,2019,10495,Roscommon
108,"Renault Kadjar, 1.5 DCI **NEW MODEL/IMMACULATE**",1.5,Diesel,-1,2019,25995,Roscommon
109,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,10495,Cork
110,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,17950,Cork
111,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,17950,Kildare
112,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,4500,Kildare
113,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,4500,Clare
114,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,13295,Clare
115,Renault Laguna 2009,1.9,Diesel,181000,2009,13295,Sligo
116,Renault Laguna 2009,1.9,Diesel,181000,2009,5950,Sligo
117,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,5950,Waterford
118,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,45488,Waterford
119,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,45488,Dublin
120,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,8450,Dublin
121,Nissan Micra March 1.2 5DR Auto air/con bluetooth,1,Petrol,-1,2022,8450,Louth
122,Nissan X-Trail Tekna Dci full Black Leather Inter,1,Petrol,-1,2022,3999,Louth
123,Nissan March Micra 1.2 5DR Auto air/con bluetooth,1,Petrol,-1,2022,3999,Louth
