Index,Name,Engine,FuelType,KM,Year,Price,Location
100,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,17995,Cork
102,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,25490,Limerick
103,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,26951,Waterford
104,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,18450,Kerry
106,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,20995,Waterford
109,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,10495,Cork
110,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,17950,Cork
111,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,17950,Kildare
112,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,4500,Kildare
113,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,4500,Clare
114,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,13295,Clare
115,Renault Laguna 2009,1.9,Diesel,181000,2009,13295,Sligo
116,Renault Laguna 2009,1.9,Diesel,181000,2009,5950,Sligo
117,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,5950,Waterford
118,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,45488,Waterford
119,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,45488,Dublin
120,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,8450,Dublin
125,Renault Fluence 2012,1.5,Diesel,140686,2012,10950,Limerick
126,"Renault Captur, 2016",1.5,Diesel,74552,2016,3250,Dublin
127,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,18990,Dublin
128,Renault clio IV Dynamique,1.1,Petrol,106000,2013,7900,Meath
131,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,16995,Carlow
134,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,5600,Limerick
135,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,13950,Kerry
136,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,13695,Dublin
137,"Renault Clio, 2007",1.1,Petrol,201772,2007,10695,Kilkenny
138,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,6350,Louth
139,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,1750,Dublin
142,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,25490,Cork
144,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,18450,Limerick
145,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,15495,Waterford
146,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,20995,Kerry
149,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,33949,Waterford
150,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,4500,Waterford
153,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,26950,Cork
154,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,34950,Cork
155,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,34950,Kildare
156,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,5950,Kildare
157,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,5950,Clare
158,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,45488,Clare
159,Renault Laguna 2009,1.9,Diesel,181000,2009,45488,Sligo
160,Renault Laguna 2009,1.9,Diesel,181000,2009,8450,Sligo
161,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,8450,Waterford
162,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,3999,Waterford
163,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,3999,Dublin
168,Renault Fluence 2012,1.5,Diesel,140686,2012,3250,Limerick
169,Renault KADJAR Iconic Blue DCI 115 (059)9141377,1.5,Diesel,42600,2020,18990,Carlow
170,Renault Arkana R.s. Line TCE 140 Auto Mild Hybrid,1.3,Petrol,29015,2021,3250,Carlow
171,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,7900,Dublin
173,Renault clio IV Dynamique,1.1,Petrol,106000,2013,14600,Meath
176,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,6850,Carlow
